School.List,KLD.BIPOC,KLD.Gender,State
"AKRON, UNIVERSITY OF",0.071977729,0.019926794,OHIO
"ALABAMA, UNIVERSITY OF",0.014698534,0.064342207,ALABAMA
ALBANY LAW SCHOOL,0.004057325,0.020592191,NEW YORK
AMERICAN UNIVERSITY,0.005756884,0.06852558,DISTRICT OF COLUMBIA
APPALACHIAN SCHOOL OF LAW,0.062380336,0.05896989,VIRGINIA
ARIZONA STATE UNIVERSITY,0.016214846,0.073117823,ARIZONA
"ARIZONA, UNIVERSITY OF",0.038176331,0.009817637,ARIZONA
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",0.035894674,0.007155523,ARKANSAS
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",0.013378584,0.016527462,ARKANSAS
ATLANTA'S JOHN MARSHALL LAW SCHOOL,0.021218122,0.020716684,GEORGIA
AVE MARIA SCHOOL OF LAW,0.059772836,0.063268674,FLORIDA
"BALTIMORE, UNIVERSITY OF",0.011675036,0.049018454,MARYLAND
BARRY UNIVERSITY,0.013310916,0.048527288,FLORIDA
BAYLOR UNIVERSITY,0.091406819,0.089931,TEXAS
BELMONT UNIVERSITY,0.023628045,0.175379842,TENNESSEE
BOSTON COLLEGE,0.021602352,0.011801714,MASSACHUSETTS
BOSTON UNIVERSITY,0.02426135,0.06589442,MASSACHUSETTS
BRIGHAM YOUNG UNIVERSITY,0.036337877,0.04134984,UTAH
BROOKLYN LAW SCHOOL,0.02278254,0.088208899,NEW YORK
CALIFORNIA WESTERN SCHOOL OF LAW,0.016669539,0.036156041,CALIFORNIA
"CALIFORNIA-BERKELEY, UNIVERSITY OF",0.001797594,0.074067927,CALIFORNIA
"CALIFORNIA-DAVIS, UNIVERSITY OF",0.003380516,0.059213312,CALIFORNIA
"CALIFORNIA-IRVINE, UNIVERSITY OF",0.008340428,0.018456687,CALIFORNIA
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",0.002933997,0.043648229,CALIFORNIA
CAMPBELL UNIVERSITY,0.020723167,0.076710477,NORTH CAROLINA
CAPITAL UNIVERSITY,0.027699771,0.091533896,OHIO
CARDOZO SCHOOL OF LAW,0.010557307,0.047372751,NEW YORK
CASE WESTERN RESERVE UNIVERSITY,0.023067042,0.171794124,OHIO
CATHOLIC UNIVERSITY OF AMERICA,0.017410773,0.125318391,DISTRICT OF COLUMBIA
CHAPMAN UNIVERSITY,0.051003384,0.061441765,CALIFORNIA
CHARLESTON SCHOOL OF LAW,0.27818992,0.068103118,SOUTH CAROLINA
"CHICAGO, UNIVERSITY OF",0.0057592,0.080130228,ILLINOIS
CHICAGO-KENT COLLEGE OF LAW-IIT,0.009212958,0.131850297,ILLINOIS
"CINCINNATI, UNIVERSITY OF",0.043447888,0.034326811,OHIO
CITY UNIVERSITY OF NEW YORK,0.002286146,0.007542403,NEW YORK
CLEVELAND STATE UNIVERSITY,0.042427954,0.047445729,OHIO
"COLORADO, UNIVERSITY OF",0.014037467,0.04127276,COLORADO
COLUMBIA UNIVERSITY,0.009607097,0.030909435,NEW YORK
"CONNECTICUT, UNIVERSITY OF",0.016453165,0.082457143,CONNECTICUT
COOLEY LAW SCHOOL,0.048687701,0.081981165,MICHIGAN
CORNELL UNIVERSITY,0.021045464,0.034899203,NEW YORK
CREIGHTON UNIVERSITY,0.020150763,0.045598219,NEBRASKA
"DAYTON, UNIVERSITY OF",0.046668162,0.034255026,OHIO
"DENVER, UNIVERSITY OF",0.02808697,0.060332608,COLORADO
DEPAUL UNIVERSITY,0.01535836,0.043744063,ILLINOIS
"DETROIT MERCY, UNIVERSITY OF",0.037113098,0.02612836,MICHIGAN
DISTRICT OF COLUMBIA,0.006500902,0.015489449,DISTRICT OF COLUMBIA
DRAKE UNIVERSITY,0.073106164,0.005003698,IOWA
DREXEL UNIVERSITY,0.028575238,0.02520538,PENNSYLVANIA
DUKE UNIVERSITY,0.010180027,0.040419052,NORTH CAROLINA
DUQUESNE UNIVERSITY,0.045982627,0.036883853,PENNSYLVANIA
ELON UNIVERSITY,0.149000169,0.023386071,NORTH CAROLINA
EMORY UNIVERSITY,0.009525112,0.021366552,GEORGIA
FAULKNER UNIVERSITY,0.020818128,0.082174456,ALABAMA
FLORIDA A&M UNIVERSITY,0.001607283,0.052454808,FLORIDA
FLORIDA INTERNATIONAL UNIVERSITY,0.00478274,0.063433581,FLORIDA
FLORIDA STATE UNIVERSITY,0.011702687,0.07518712,FLORIDA
"FLORIDA, UNIVERSITY OF",0.015166941,0.019060608,FLORIDA
FORDHAM UNIVERSITY,0.008811715,0.035428532,NEW YORK
GEORGE MASON UNIVERSITY,0.012382441,0.060186865,VIRGINIA
GEORGE WASHINGTON UNIVERSITY,0.049578752,0.100728493,DISTRICT OF COLUMBIA
GEORGETOWN UNIVERSITY,0.133829228,0.095902533,DISTRICT OF COLUMBIA
GEORGIA STATE UNIVERSITY,0.010148695,0.01437011,GEORGIA
"GEORGIA, UNIVERSITY OF",0.008323234,0.026245902,GEORGIA
GOLDEN GATE UNIVERSITY,0.003812099,0.037961389,CALIFORNIA
GONZAGA UNIVERSITY,0.037656312,0.013706698,WASHINGTON
HARVARD UNIVERSITY,0.007431285,0.040651625,MASSACHUSETTS
"HAWAII, UNIVERSITY OF",0.004570188,0.063561014,HAWAII
HOFSTRA UNIVERSITY,0.038263909,0.036133636,NEW YORK
"HOUSTON, UNIVERSITY OF",0.001517682,0.057805435,TEXAS
HOWARD UNIVERSITY,0.000199269,0.064737985,DISTRICT OF COLUMBIA
"IDAHO, UNIVERSITY OF",9.663025009,0.006074457,IDAHO
"ILLINOIS, UNIVERSITY OF",0.020141408,0.004784893,ILLINOIS
INDIANA UNIVERSITY - BLOOMINGTON,0.015538278,0.03759768,INDIANA
INDIANA UNIVERSITY - INDIANAPOLIS,0.022257522,0.014277556,INDIANA
INTER AMERICAN UNIVERSITY OF PUERTO RICO,2.19E-05,0.188170046,PUERTO RICO
"IOWA, UNIVERSITY OF",0.0779154,0.014023543,IOWA
"KANSAS, UNIVERSITY OF",0.046220078,0.043534912,KANSAS
"KENTUCKY, UNIVERSITY OF",0.031083649,0.004421436,KENTUCKY
LEWIS AND CLARK COLLEGE,0.016457084,0.091016588,OREGON
LIBERTY UNIVERSITY,0.02512532,0.068141773,VIRGINIA
LINCOLN MEMORIAL,0.069193756,0.020461788,DISTRICT OF COLUMBIA
LOUISIANA STATE UNIVERSITY,0.032025417,0.092774104,LOUISIANA
"LOUISVILLE, UNIVERSITY OF",0.015990909,0.05448744,KENTUCKY
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,0.004695676,0.056897855,CALIFORNIA
LOYOLA UNIVERSITY-CHICAGO,0.027163244,0.027700412,ILLINOIS
LOYOLA UNIVERSITY-NEW ORLEANS,0.024115955,0.066009777,LOUISIANA
"MAINE, UNIVERSITY OF",0.1156427,0.033375716,MAINE
MARQUETTE UNIVERSITY,0.011301145,0.018933105,WISCONSIN
"MARYLAND, UNIVERSITY OF",0.012502343,0.077380951,MARYLAND
MCGEORGE SCHOOL OF LAW,0.044464491,0.061780597,CALIFORNIA
"MEMPHIS, UNIVERSITY OF",0.03211932,0.043882391,TENNESSEE
MERCER UNIVERSITY,0.01558336,0.0928194,GEORGIA
"MIAMI, UNIVERSITY OF",0.006728388,0.068679145,FLORIDA
MICHIGAN STATE UNIVERSITY,0.041781869,0.02447061,MICHIGAN
"MICHIGAN, UNIVERSITY OF",0.013509183,0.049792242,MICHIGAN
"MINNESOTA, UNIVERSITY OF",0.013394122,0.044909187,MINNESOTA
MISSISSIPPI COLLEGE,0.102763368,0.017368406,MISSISSIPPI
"MISSISSIPPI, UNIVERSITY OF",0.043273076,0.018557658,MISSISSIPPI
"MISSOURI, UNIVERSITY OF",0.070876503,0.021419278,MISSOURI
"MISSOURI-KANSAS CITY, UNIVERSITY OF",0.016338256,0.030219661,MISSOURI
MITCHELL | HAMLINE,0.021765015,0.013047359,MINNESOTA
"MONTANA, UNIVERSITY OF",0.064634875,0.0062192,MONTANA
"NEBRASKA, UNIVERSITY OF",0.015770237,0.0496289,NEBRASKA
NEW ENGLAND LAW | BOSTON,0.036860237,0.097980552,MASSACHUSETTS
"NEW HAMPSHIRE, UNIVERSITY OF",2.753347854,0.003546319,NEW HAMPSHIRE
"NEW MEXICO, UNIVERSITY OF",0.005939117,0.005795188,NEW MEXICO
NEW YORK LAW SCHOOL,0.040459303,0.084979502,NEW YORK
NEW YORK UNIVERSITY,0.001532109,0.093787572,NEW YORK
NORTH CAROLINA CENTRAL UNIVERSITY,0.003252874,0.01626519,NORTH CAROLINA
"NORTH CAROLINA, UNIVERSITY OF",0.020077083,0.016227759,NORTH CAROLINA
"NORTH DAKOTA, UNIVERSITY OF",0.095101726,0.021436955,NORTH DAKOTA
NORTHEASTERN UNIVERSITY SCHOOL OF LAW,0.017038113,0.069189433,MASSACHUSETTS
