"","School List"
"1","AKRON, UNIVERSITY OF"
"2","ALABAMA, UNIVERSITY OF"
"3","ALBANY LAW SCHOOL"
"4","AMERICAN UNIVERSITY"
"5","APPALACHIAN SCHOOL OF LAW"
"6","ARIZONA STATE UNIVERSITY"
"7","ARIZONA, UNIVERSITY OF"
"8","ARKANSAS, FAYETTEVILLE, UNIVERSITY OF"
"9","ARKANSAS, LITTLE ROCK, UNIVERSITY OF"
"10","ATLANTA'S JOHN MARSHALL LAW SCHOOL"
"11","AVE MARIA SCHOOL OF LAW"
"12","BALTIMORE, UNIVERSITY OF"
"13","BARRY UNIVERSITY"
"14","BAYLOR UNIVERSITY"
"15","BELMONT UNIVERSITY"
"16","BOSTON COLLEGE"
"17","BOSTON UNIVERSITY"
"18","BRIGHAM YOUNG UNIVERSITY"
"19","BROOKLYN LAW SCHOOL"
"20","CALIFORNIA WESTERN SCHOOL OF LAW"
"21","CALIFORNIA-BERKELEY, UNIVERSITY OF"
"22","CALIFORNIA-DAVIS, UNIVERSITY OF"
"23","CALIFORNIA-IRVINE, UNIVERSITY OF"
"24","CALIFORNIA-LOS ANGELES, UNIVERSITY OF"
"25","CAMPBELL UNIVERSITY"
"26","CAPITAL UNIVERSITY"
"27","CARDOZO SCHOOL OF LAW"
"28","CASE WESTERN RESERVE UNIVERSITY"
"29","CATHOLIC UNIVERSITY OF AMERICA"
"30","CHAPMAN UNIVERSITY"
"31","CHARLESTON SCHOOL OF LAW"
"32","CHICAGO, UNIVERSITY OF"
"33","CHICAGO-KENT COLLEGE OF LAW-IIT"
"34","CINCINNATI, UNIVERSITY OF"
"35","CITY UNIVERSITY OF NEW YORK"
"36","CLEVELAND STATE UNIVERSITY"
"37","COLORADO, UNIVERSITY OF"
"38","COLUMBIA UNIVERSITY"
"39","CONNECTICUT, UNIVERSITY OF"
"40","COOLEY LAW SCHOOL"
"41","CORNELL UNIVERSITY"
"42","CREIGHTON UNIVERSITY"
"43","DAYTON, UNIVERSITY OF"
"44","DENVER, UNIVERSITY OF"
"45","DEPAUL UNIVERSITY"
"46","DETROIT MERCY, UNIVERSITY OF"
"47","DISTRICT OF COLUMBIA"
"48","DRAKE UNIVERSITY"
"49","DREXEL UNIVERSITY"
"50","DUKE UNIVERSITY"
"51","DUQUESNE UNIVERSITY"
"52","ELON UNIVERSITY"
"53","EMORY UNIVERSITY"
"54","FAULKNER UNIVERSITY"
"55","FLORIDA A&M UNIVERSITY"
"56","FLORIDA INTERNATIONAL UNIVERSITY"
"57","FLORIDA STATE UNIVERSITY"
"58","FLORIDA, UNIVERSITY OF"
"59","FORDHAM UNIVERSITY"
"60","GEORGE MASON UNIVERSITY"
"61","GEORGE WASHINGTON UNIVERSITY"
"62","GEORGETOWN UNIVERSITY"
"63","GEORGIA STATE UNIVERSITY"
"64","GEORGIA, UNIVERSITY OF"
"65","GOLDEN GATE UNIVERSITY"
"66","GONZAGA UNIVERSITY"
"67","HARVARD UNIVERSITY"
"68","HAWAII, UNIVERSITY OF"
"69","HOFSTRA UNIVERSITY"
"70","HOUSTON, UNIVERSITY OF"
"71","HOWARD UNIVERSITY"
"72","IDAHO, UNIVERSITY OF"
"73","ILLINOIS, UNIVERSITY OF"
"74","INDIANA UNIVERSITY - BLOOMINGTON"
"75","INDIANA UNIVERSITY - INDIANAPOLIS"
"76","INTER AMERICAN UNIVERSITY OF PUERTO RICO"
"77","IOWA, UNIVERSITY OF"
"78","KANSAS, UNIVERSITY OF"
"79","KENTUCKY, UNIVERSITY OF"
"80","LEWIS AND CLARK COLLEGE"
"81","LIBERTY UNIVERSITY"
"82","LINCOLN MEMORIAL"
"83","LOUISIANA STATE UNIVERSITY"
"84","LOUISVILLE, UNIVERSITY OF"
"85","LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES"
"86","LOYOLA UNIVERSITY-CHICAGO"
"87","LOYOLA UNIVERSITY-NEW ORLEANS"
"88","MAINE, UNIVERSITY OF"
"89","MARQUETTE UNIVERSITY"
"90","MARYLAND, UNIVERSITY OF"
"91","MCGEORGE SCHOOL OF LAW"
"92","MEMPHIS, UNIVERSITY OF"
"93","MERCER UNIVERSITY"
"94","MIAMI, UNIVERSITY OF"
"95","MICHIGAN STATE UNIVERSITY"
"96","MICHIGAN, UNIVERSITY OF"
"97","MINNESOTA, UNIVERSITY OF"
"98","MISSISSIPPI COLLEGE"
"99","MISSISSIPPI, UNIVERSITY OF"
"100","MISSOURI, UNIVERSITY OF"
"101","MISSOURI-KANSAS CITY, UNIVERSITY OF"
"102","MITCHELL | HAMLINE"
"103","MONTANA, UNIVERSITY OF"
"104","NEBRASKA, UNIVERSITY OF"
"105","NEW ENGLAND LAW | BOSTON"
"106","NEW HAMPSHIRE, UNIVERSITY OF"
"107","NEW MEXICO, UNIVERSITY OF"
"108","NEW YORK LAW SCHOOL"
"109","NEW YORK UNIVERSITY"
"110","NORTH CAROLINA CENTRAL UNIVERSITY"
"111","NORTH CAROLINA, UNIVERSITY OF"
"112","NORTH DAKOTA, UNIVERSITY OF"
"113","NORTHEASTERN UNIVERSITY SCHOOL OF LAW"
"114","NORTHERN ILLINOIS UNIVERSITY"
"115","NORTHERN KENTUCKY UNIVERSITY"
"116","NORTHWESTERN UNIVERSITY"
"117","NOTRE DAME, UNIVERSITY OF"
"118","NOVA SOUTHEASTERN UNIVERSITY"
"119","OHIO NORTHERN UNIVERSITY"
"120","OHIO STATE UNIVERSITY"
"121","OKLAHOMA CITY UNIVERSITY"
"122","OKLAHOMA, UNIVERSITY OF"
"123","OREGON, UNIVERSITY OF"
"124","PACE UNIVERSITY"
"125","PENNSYLVANIA STATE - DICKINSON LAW"
"126","PENNSYLVANIA STATE - PENN STATE LAW"
"127","PENNSYLVANIA, UNIVERSITY OF"
"128","PEPPERDINE UNIVERSITY"
"129","PITTSBURGH, UNIVERSITY OF"
"130","PONTIFICAL CATHOLIC UNIVERSITY OF P.R."
"131","PUERTO RICO, UNIVERSITY OF"
"132","QUINNIPIAC UNIVERSITY"
"133","REGENT UNIVERSITY"
"134","RICHMOND, UNIVERSITY OF"
"135","ROGER WILLIAMS UNIVERSITY"
"136","RUTGERS UNIVERSITY"
"137","SAINT LOUIS UNIVERSITY"
"138","SAMFORD UNIVERSITY"
"139","SAN DIEGO, UNIVERSITY OF"
"140","SAN FRANCISCO, UNIVERSITY OF"
"141","SANTA CLARA UNIVERSITY"
"142","SEATTLE UNIVERSITY"
"143","SETON HALL UNIVERSITY"
"144","SOUTH CAROLINA, UNIVERSITY OF"
"145","SOUTH DAKOTA, UNIVERSITY OF"
"146","SOUTH TEXAS COLLEGE OF LAW HOUSTON"
"147","SOUTHERN CALIFORNIA, UNIVERSITY OF"
"148","SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE"
"149","SOUTHERN METHODIST UNIVERSITY"
"150","SOUTHERN UNIVERSITY"
"151","SOUTHWESTERN LAW SCHOOL"
"152","ST. JOHN'S UNIVERSITY"
"153","ST. MARY'S UNIVERSITY"
"154","ST. THOMAS UNIVERSITY (FLORIDA)"
"155","ST. THOMAS, UNIVERSITY OF (MINNESOTA)"
"156","STANFORD UNIVERSITY"
"157","STETSON UNIVERSITY"
"158","SUFFOLK UNIVERSITY"
"159","SYRACUSE UNIVERSITY"
"160","TEMPLE UNIVERSITY"
"161","TENNESSEE, UNIVERSITY OF"
"162","TEXAS A&M UNIVERSITY"
"163","TEXAS AT AUSTIN, UNIVERSITY OF"
"164","TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW"
"165","TEXAS TECH UNIVERSITY"
"166","TOLEDO, UNIVERSITY OF"
"167","TOURO UNIVERSITY"
"168","TULANE UNIVERSITY"
"169","TULSA, UNIVERSITY OF"
"170","UNIVERSITY OF BUFFALO-SUNY"
"171","UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO"
"172","UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW"
"173","UNIVERSITY OF MASSACHUSETTS DARTMOUTH"
"174","UNIVERSITY OF NEVADA - LAS VEGAS"
"175","UTAH, UNIVERSITY OF"
"176","VANDERBILT UNIVERSITY"
"177","VERMONT LAW SCHOOL"
"178","VILLANOVA UNIVERSITY"
"179","VIRGINIA, UNIVERSITY OF"
"180","WAKE FOREST UNIVERSITY"
"181","WASHBURN UNIVERSITY"
"182","WASHINGTON AND LEE UNIVERSITY"
"183","WASHINGTON UNIVERSITY"
"184","WASHINGTON, UNIVERSITY OF"
"185","WAYNE STATE UNIVERSITY"
"186","WEST VIRGINIA UNIVERSITY"
"187","WESTERN NEW ENGLAND UNIVERSITY"
"188","WESTERN STATE COLLEGE OF LAW"
"189","WIDENER UNIVERSITY-DELAWARE"
"190","WIDENER-COMMONWEALTH"
"191","WILLAMETTE UNIVERSITY"
"192","WILLIAM AND MARY LAW SCHOOL"
"193","WISCONSIN, UNIVERSITY OF"
"194","WYOMING, UNIVERSITY OF"
"195","YALE UNIVERSITY"
