School.List,State,Year,FT.BIPOC,FT.White,FT.Total,fac_percent_bipoc,fac_percent_white,fac_year_change
"AKRON, UNIVERSITY OF",OHIO,2017,8,64,72,11.11111111,88.88888889,NA
"AKRON, UNIVERSITY OF",OHIO,2018,8,65,73,10.95890411,89.04109589,-0.1522
"AKRON, UNIVERSITY OF",OHIO,2019,6,59,65,9.230769231,90.76923077,-1.7281
"AKRON, UNIVERSITY OF",OHIO,2020,5,63,68,7.352941176,92.64705882,-1.8778
"AKRON, UNIVERSITY OF",OHIO,2021,3,60,63,4.761904762,95.23809524,-2.591
"AKRON, UNIVERSITY OF",OHIO,2022,4,53,57,7.01754386,92.98245614,2.2556
"AKRON, UNIVERSITY OF",OHIO,2023,6,64,70,8.571428571,91.42857143,1.5539
"ALABAMA, UNIVERSITY OF",ALABAMA,2017,11,92,103,10.67961165,89.32038835,NA
"ALABAMA, UNIVERSITY OF",ALABAMA,2018,12,91,103,11.65048544,88.34951456,0.9709
"ALABAMA, UNIVERSITY OF",ALABAMA,2019,15,86,101,14.85148515,85.14851485,3.201
"ALABAMA, UNIVERSITY OF",ALABAMA,2020,16,87,103,15.53398058,84.46601942,0.6825
"ALABAMA, UNIVERSITY OF",ALABAMA,2021,12,83,95,12.63157895,87.36842105,-2.9024
"ALABAMA, UNIVERSITY OF",ALABAMA,2022,17,79,96,17.70833333,82.29166667,5.0768
"ALABAMA, UNIVERSITY OF",ALABAMA,2023,18,79,97,18.55670103,81.44329897,0.8484
ALBANY LAW SCHOOL,NEW YORK,2017,8,76,84,9.523809524,90.47619048,NA
ALBANY LAW SCHOOL,NEW YORK,2018,9,64,73,12.32876712,87.67123288,2.805
ALBANY LAW SCHOOL,NEW YORK,2019,15,79,94,15.95744681,84.04255319,3.6287
ALBANY LAW SCHOOL,NEW YORK,2020,11,76,87,12.64367816,87.35632184,-3.3138
ALBANY LAW SCHOOL,NEW YORK,2021,12,71,83,14.45783133,85.54216867,1.8142
ALBANY LAW SCHOOL,NEW YORK,2022,14,77,91,15.38461538,84.61538462,0.9268
ALBANY LAW SCHOOL,NEW YORK,2023,16,83,99,16.16161616,83.83838384,0.777
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2017,74,316,390,18.97435897,81.02564103,NA
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2018,74,292,366,20.21857923,79.78142077,1.2442
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2019,63,251,314,20.06369427,79.93630573,-0.1549
