School.List,State,Year,FT.Male,FT.Female,FT.AGI,FT.Total,fac_percent_men,fac_percent_women,fac_percent_agi,fac_men_change,fac_women_change,fac_agi_change
"AKRON, UNIVERSITY OF",OHIO,2017,46,26,0,72,63.88888889,36.11111111,0,NA,NA,NA
"AKRON, UNIVERSITY OF",OHIO,2018,45,28,0,73,61.64383562,38.35616438,0,-2.245053272,2.245053272,0
"AKRON, UNIVERSITY OF",OHIO,2019,37,28,0,65,56.92307692,43.07692308,0,-4.720758693,4.720758693,0
"AKRON, UNIVERSITY OF",OHIO,2020,40,28,0,68,58.82352941,41.17647059,0,1.900452489,-1.900452489,0
"AKRON, UNIVERSITY OF",OHIO,2021,39,24,0,63,61.9047619,38.0952381,0,3.081232493,-3.081232493,0
"AKRON, UNIVERSITY OF",OHIO,2022,37,20,0,57,64.9122807,35.0877193,0,3.007518797,-3.007518797,0
"AKRON, UNIVERSITY OF",OHIO,2023,39,31,0,70,55.71428571,44.28571429,0,-9.197994987,9.197994987,0
"ALABAMA, UNIVERSITY OF",ALABAMA,2017,74,29,0,103,71.84466019,28.15533981,0,NA,NA,NA
"ALABAMA, UNIVERSITY OF",ALABAMA,2018,70,33,0,103,67.96116505,32.03883495,0,-3.883495146,3.883495146,0
"ALABAMA, UNIVERSITY OF",ALABAMA,2019,68,33,0,101,67.32673267,32.67326733,0,-0.634432375,0.634432375,0
"ALABAMA, UNIVERSITY OF",ALABAMA,2020,69,34,0,103,66.99029126,33.00970874,0,-0.336441411,0.336441411,0
"ALABAMA, UNIVERSITY OF",ALABAMA,2021,66,29,0,95,69.47368421,30.52631579,0,2.483392948,-2.483392948,0
"ALABAMA, UNIVERSITY OF",ALABAMA,2022,63,33,0,96,65.625,34.375,0,-3.848684211,3.848684211,0
"ALABAMA, UNIVERSITY OF",ALABAMA,2023,62,35,0,97,63.91752577,36.08247423,0,-1.707474227,1.707474227,0
ALBANY LAW SCHOOL,NEW YORK,2017,49,35,0,84,58.33333333,41.66666667,0,NA,NA,NA
ALBANY LAW SCHOOL,NEW YORK,2018,42,31,0,73,57.53424658,42.46575342,0,-0.799086758,0.799086758,0
