School.List,State,Year,ST.Total.White,ST.Total.Bipoc,ST.Total,percent_bipoc,percent_white,year_change
"AKRON, UNIVERSITY OF",OHIO,2017,145,31,176,17.61363636,82.38636364,NA
"AKRON, UNIVERSITY OF",OHIO,2018,115,32,147,21.76870748,78.23129252,4.1551
"AKRON, UNIVERSITY OF",OHIO,2019,89,14,103,13.59223301,86.40776699,-8.1765
"AKRON, UNIVERSITY OF",OHIO,2020,110,31,141,21.9858156,78.0141844,8.3936
"AKRON, UNIVERSITY OF",OHIO,2021,127,32,159,20.12578616,79.87421384,-1.86
"AKRON, UNIVERSITY OF",OHIO,2022,109,33,142,23.23943662,76.76056338,3.1137
"AKRON, UNIVERSITY OF",OHIO,2023,111,17,128,13.28125,86.71875,-9.9582
"ALABAMA, UNIVERSITY OF",ALABAMA,2017,97,25,122,20.49180328,79.50819672,NA
"ALABAMA, UNIVERSITY OF",ALABAMA,2018,89,23,112,20.53571429,79.46428571,0.0439
"ALABAMA, UNIVERSITY OF",ALABAMA,2019,104,26,130,20,80,-0.5357
"ALABAMA, UNIVERSITY OF",ALABAMA,2020,98,26,124,20.96774194,79.03225806,0.9677
"ALABAMA, UNIVERSITY OF",ALABAMA,2021,118,31,149,20.80536913,79.19463087,-0.1624
"ALABAMA, UNIVERSITY OF",ALABAMA,2022,107,39,146,26.71232877,73.28767123,5.907
"ALABAMA, UNIVERSITY OF",ALABAMA,2023,97,25,122,20.49180328,79.50819672,-6.2205
ALBANY LAW SCHOOL,NEW YORK,2017,116,27,143,18.88111888,81.11888112,NA
ALBANY LAW SCHOOL,NEW YORK,2018,144,40,184,21.73913043,78.26086957,2.858
ALBANY LAW SCHOOL,NEW YORK,2019,133,41,174,23.56321839,76.43678161,1.8241
ALBANY LAW SCHOOL,NEW YORK,2020,140,35,175,20,80,-3.5632
ALBANY LAW SCHOOL,NEW YORK,2021,162,45,207,21.73913043,78.26086957,1.7391
ALBANY LAW SCHOOL,NEW YORK,2022,146,46,192,23.95833333,76.04166667,2.2192
ALBANY LAW SCHOOL,NEW YORK,2023,125,46,171,26.9005848,73.0994152,2.9423
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2017,229,157,386,40.67357513,59.32642487,NA
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2018,281,148,429,34.4988345,65.5011655,-6.1747
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2019,230,129,359,35.93314763,64.06685237,1.4343
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2020,205,139,344,40.40697674,59.59302326,4.4738
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2021,243,138,381,36.22047244,63.77952756,-4.1865
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2022,238,136,374,36.36363636,63.63636364,0.1432
AMERICAN UNIVERSITY,DISTRICT OF COLUMBIA,2023,228,158,386,40.93264249,59.06735751,4.569
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2017,47,22,69,31.88405797,68.11594203,NA
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2018,46,16,62,25.80645161,74.19354839,-6.0776
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2019,43,23,66,34.84848485,65.15151515,9.042
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2020,51,14,65,21.53846154,78.46153846,-13.31
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2021,44,13,57,22.80701754,77.19298246,1.2686
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2022,44,9,53,16.98113208,83.01886792,-5.8259
APPALACHIAN SCHOOL OF LAW,VIRGINIA,2023,34,22,56,39.28571429,60.71428571,22.3046
ARIZONA STATE UNIVERSITY,ARIZONA,2017,154,52,206,25.24271845,74.75728155,NA
ARIZONA STATE UNIVERSITY,ARIZONA,2018,196,51,247,20.64777328,79.35222672,-4.5949
ARIZONA STATE UNIVERSITY,ARIZONA,2019,181,76,257,29.57198444,70.42801556,8.9242
ARIZONA STATE UNIVERSITY,ARIZONA,2020,150,74,224,33.03571429,66.96428571,3.4637
ARIZONA STATE UNIVERSITY,ARIZONA,2021,202,91,293,31.05802048,68.94197952,-1.9777
ARIZONA STATE UNIVERSITY,ARIZONA,2022,178,98,276,35.50724638,64.49275362,4.4492
ARIZONA STATE UNIVERSITY,ARIZONA,2023,124,59,183,32.24043716,67.75956284,-3.2668
"ARIZONA, UNIVERSITY OF",ARIZONA,2017,56,34,90,37.77777778,62.22222222,NA
"ARIZONA, UNIVERSITY OF",ARIZONA,2018,77,37,114,32.45614035,67.54385965,-5.3216
"ARIZONA, UNIVERSITY OF",ARIZONA,2019,101,35,136,25.73529412,74.26470588,-6.7208
"ARIZONA, UNIVERSITY OF",ARIZONA,2020,81,33,114,28.94736842,71.05263158,3.2121
"ARIZONA, UNIVERSITY OF",ARIZONA,2021,85,42,127,33.07086614,66.92913386,4.1235
"ARIZONA, UNIVERSITY OF",ARIZONA,2022,70,54,124,43.5483871,56.4516129,10.4775
"ARIZONA, UNIVERSITY OF",ARIZONA,2023,78,34,112,30.35714286,69.64285714,-13.1912
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2017,95,24,119,20.16806723,79.83193277,NA
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2018,104,22,126,17.46031746,82.53968254,-2.7077
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2019,95,15,110,13.63636364,86.36363636,-3.824
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2020,104,25,129,19.37984496,80.62015504,5.7435
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2021,94,32,126,25.3968254,74.6031746,6.017
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2022,87,35,122,28.68852459,71.31147541,3.2917
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2023,95,32,127,25.19685039,74.80314961,-3.4917
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2017,132,34,166,20.48192771,79.51807229,NA
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2018,103,29,132,21.96969697,78.03030303,1.4878
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2019,129,22,151,14.56953642,85.43046358,-7.4002
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2020,131,26,157,16.56050955,83.43949045,1.991
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2021,134,22,156,14.1025641,85.8974359,-2.4579
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2022,113,32,145,22.06896552,77.93103448,7.9664
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2023,91,30,121,24.79338843,75.20661157,2.7244
