School.List,State,Year,ST.Total.Men,ST.Total.Women,ST.Total.AGI,ST.Total,percent_men,percent_women,percent_agi,men_change,women_change,agi_change
"AKRON, UNIVERSITY OF",OHIO,2017,95,81,0,176,53.97727273,46.02272727,0,NA,NA,NA
"AKRON, UNIVERSITY OF",OHIO,2018,79,68,0,147,53.7414966,46.2585034,0,-0.235776129,0.235776129,0
"AKRON, UNIVERSITY OF",OHIO,2019,59,44,0,103,57.2815534,42.7184466,0,3.540056799,-3.540056799,0
"AKRON, UNIVERSITY OF",OHIO,2020,70,71,0,141,49.64539007,50.35460993,0,-7.636163327,7.636163327,0
"AKRON, UNIVERSITY OF",OHIO,2021,77,81,1,159,48.42767296,50.94339623,0.628930818,-1.217717115,0.588786297,0.628930818
"AKRON, UNIVERSITY OF",OHIO,2022,71,71,0,142,50,50,0,1.572327044,-0.943396226,-0.628930818
"AKRON, UNIVERSITY OF",OHIO,2023,64,64,0,128,50,50,0,0,0,0
"ALABAMA, UNIVERSITY OF",ALABAMA,2017,67,55,0,122,54.91803279,45.08196721,0,NA,NA,NA
"ALABAMA, UNIVERSITY OF",ALABAMA,2018,59,53,0,112,52.67857143,47.32142857,0,-2.239461358,2.239461358,0
"ALABAMA, UNIVERSITY OF",ALABAMA,2019,60,70,0,130,46.15384615,53.84615385,0,-6.524725275,6.524725275,0
"ALABAMA, UNIVERSITY OF",ALABAMA,2020,61,62,1,124,49.19354839,50,0.806451613,3.039702233,-3.846153846,0.806451613
"ALABAMA, UNIVERSITY OF",ALABAMA,2021,73,76,0,149,48.99328859,51.00671141,0,-0.200259796,1.006711409,-0.806451613
"ALABAMA, UNIVERSITY OF",ALABAMA,2022,75,71,0,146,51.36986301,48.63013699,0,2.376574423,-2.376574423,0
"ALABAMA, UNIVERSITY OF",ALABAMA,2023,60,61,1,122,49.18032787,50,0.819672131,-2.189535145,1.369863014,0.819672131
ALBANY LAW SCHOOL,NEW YORK,2017,73,70,0,143,51.04895105,48.95104895,0,NA,NA,NA
